sent0,sent1,neg1,neg2,neg3,neg4,neg5,neg6,neg7,neg8,neg9,neg10,neg11,neg12,neg13,neg14,neg15,neg16,neg17,neg18,neg19,neg20
A common human skin tumour is caused by activating mutations in beta-catenin,tumour is a disease,activating mutations is a disease,mutations in is a disease,common human skin is a disease,in is a disease,human skin is a disease,activating mutations in is a disease,skin is a disease,skin tumour is is a disease,A is a disease,A common human is a disease,is is a disease,is caused is a disease,tumour is is a disease,caused is a disease,in beta-catenin is a disease,common human is a disease,common is a disease,beta-catenin is a disease,caused by is a disease,mutations in beta-catenin is a disease
" One of the target genes for beta-catenin/TCF encodes c-MYC, explaining why constitutive activation of the WNT pathway can lead to cancer, particularly in the colon",cancer is a disease,"cancer, is a disease",in the is a disease,activation of the is a disease,for beta-catenin/TCF encodes is a disease,One is a disease,"cancer, particularly in is a disease",pathway can lead is a disease,"cancer, particularly is a disease",pathway is a disease,genes is a disease,can lead is a disease,"to cancer, is a disease",target genes is a disease,can is a disease,target genes for is a disease,"to cancer, particularly is a disease",the target genes is a disease,"encodes c-MYC, explaining is a disease",in the colon is a disease,in is a disease
" Most colon cancers arise from mutations in the gene encoding adenomatous polyposis coli (APC), a protein required for ubiquitin-mediated degradation of beta-catenin, but a small percentage of colon and some other cancers harbour beta-catenin-stabilizing mutations",APC is a disease,ubiquitin-mediated is a disease,"(APC), is a disease","(APC), a protein is a disease","beta-catenin, but is a disease",of colon is a disease,"degradation of beta-catenin, is a disease",mutations is a disease,protein required for is a disease,"coli (APC), is a disease",the is a disease,cancers harbour is a disease,"of beta-catenin, but is a disease",but a is a disease,percentage of colon is a disease,harbour beta-catenin-stabilizing mutations is a disease,small percentage of is a disease,required is a disease,colon and is a disease,in is a disease,arise is a disease
" Most colon cancers arise from mutations in the gene encoding adenomatous polyposis coli (APC), a protein required for ubiquitin-mediated degradation of beta-catenin, but a small percentage of colon and some other cancers harbour beta-catenin-stabilizing mutations",adenomatous polyposis coli is a disease,protein required is a disease,"(APC), a is a disease",mutations in the is a disease,a small percentage is a disease,of colon and is a disease,polyposis is a disease,the gene encoding is a disease,from mutations is a disease,percentage is a disease,the gene is a disease,protein is a disease,in the is a disease,adenomatous polyposis is a disease,Most colon is a disease,colon is a disease,some is a disease,for ubiquitin-mediated degradation is a disease,other cancers harbour is a disease,but a small is a disease,required for ubiquitin-mediated is a disease
" Most colon cancers arise from mutations in the gene encoding adenomatous polyposis coli (APC), a protein required for ubiquitin-mediated degradation of beta-catenin, but a small percentage of colon and some other cancers harbour beta-catenin-stabilizing mutations",colon cancers is a disease,small percentage is a disease,encoding adenomatous polyposis is a disease,ubiquitin-mediated degradation of is a disease,but is a disease,harbour beta-catenin-stabilizing is a disease,degradation of is a disease,cancers is a disease,and is a disease,arise from mutations is a disease,required for is a disease,"beta-catenin, but a is a disease",percentage of is a disease,"beta-catenin, is a disease",from mutations in is a disease,mutations in is a disease,of is a disease,gene encoding is a disease, Most colon is a disease,a small is a disease,encoding is a disease
" Most colon cancers arise from mutations in the gene encoding adenomatous polyposis coli (APC), a protein required for ubiquitin-mediated degradation of beta-catenin, but a small percentage of colon and some other cancers harbour beta-catenin-stabilizing mutations",cancer is a disease,harbour is a disease,polyposis coli is a disease,coli is a disease,"of beta-catenin, is a disease",a is a disease,"polyposis coli (APC), is a disease",degradation is a disease,"coli (APC), a is a disease",gene encoding adenomatous is a disease,in the gene is a disease,colon and some is a disease,cancers harbour beta-catenin-stabilizing is a disease,small is a disease,beta-catenin-stabilizing is a disease, is a disease,ubiquitin-mediated degradation is a disease,a protein required is a disease,from is a disease,some other cancers is a disease,for is a disease
" Recently, we discovered that transgenic mice expressing an activated beta-catenin are predisposed to developing skin tumours resembling pilomatricomas",tumours is a disease,transgenic mice is a disease,predisposed to is a disease,transgenic mice expressing is a disease,skin is a disease,to is a disease,skin tumours resembling is a disease,discovered is a disease,are predisposed is a disease, is a disease,developing skin tumours is a disease,"Recently, we is a disease",to developing skin is a disease,beta-catenin is a disease,an is a disease,beta-catenin are is a disease,an activated beta-catenin is a disease,are predisposed to is a disease,developing skin is a disease,activated beta-catenin are is a disease,discovered that transgenic is a disease
" Recently, we discovered that transgenic mice expressing an activated beta-catenin are predisposed to developing skin tumours resembling pilomatricomas",tumour is a disease,we discovered is a disease,mice expressing is a disease,predisposed to developing is a disease,are is a disease,developing is a disease,activated beta-catenin is a disease,transgenic is a disease,we is a disease,activated is a disease," Recently, is a disease",resembling is a disease,mice is a disease,expressing an is a disease,that is a disease,predisposed is a disease,beta-catenin are predisposed is a disease,that transgenic mice is a disease,tumours resembling is a disease,"Recently, we discovered is a disease",expressing is a disease
" Here, we explore the cell origin and aetiology of this common human skin tumour",tumour is a disease,"Here, we is a disease","Here, is a disease",we explore is a disease,aetiology of is a disease,human skin tumour is a disease,and is a disease,skin is a disease,cell origin and is a disease,explore is a disease,and aetiology of is a disease,common is a disease,of this common is a disease,the is a disease,this common human is a disease, is a disease,explore the cell is a disease,and aetiology is a disease,origin and is a disease,explore the is a disease,"Here, we explore is a disease"
" We found nuclear LEF-1 in the dividing tumour cells, providing biochemical evidence that pilomatricomas are derived from hair matrix cells",tumour is a disease,from hair is a disease,found nuclear is a disease,providing biochemical is a disease,the dividing tumour is a disease,hair is a disease,hair matrix cells is a disease,cells is a disease,We is a disease,matrix is a disease,biochemical evidence that is a disease,derived from hair is a disease,We found is a disease,evidence that is a disease,evidence that pilomatricomas is a disease,are is a disease,providing is a disease,"tumour cells, providing is a disease",providing biochemical evidence is a disease,pilomatricomas are is a disease,from is a disease
" At least 75% of these tumours possess mutations affecting the amino-terminal segment, normally involved in phosphorylation-dependent, ubiquitin-mediated degradation of the protein",tumours is a disease,possess mutations affecting is a disease,protein is a disease,At is a disease,mutations affecting the is a disease,affecting is a disease,"segment, is a disease",these tumours possess is a disease,"phosphorylation-dependent, is a disease", is a disease,possess mutations is a disease,At least 75% is a disease,least 75% is a disease,"segment, normally involved is a disease",tumours possess mutations is a disease,affecting the amino-terminal is a disease,involved is a disease, At least is a disease,of is a disease,"amino-terminal segment, normally is a disease",normally involved in is a disease
" At least 75% of these tumours possess mutations affecting the amino-terminal segment, normally involved in phosphorylation-dependent, ubiquitin-mediated degradation of the protein",tumour is a disease,"segment, normally is a disease",amino-terminal is a disease,"in phosphorylation-dependent, ubiquitin-mediated is a disease",degradation is a disease,ubiquitin-mediated is a disease,75% of these is a disease,involved in is a disease,the protein is a disease,"amino-terminal segment, is a disease",the is a disease,ubiquitin-mediated degradation is a disease,"in phosphorylation-dependent, is a disease",75% is a disease,affecting the is a disease,degradation of the is a disease,least is a disease,mutations affecting is a disease,these tumours is a disease,of the is a disease,possess is a disease
" This percentage of CTNNB1 mutations is greater than in all other human tumours examined thus far, and directly implicates beta-catenin/LEF misregulation as the major cause of hair matrix cell tumorigenesis in humans",tumours is a disease,than in is a disease,of hair matrix is a disease,cause of is a disease,hair matrix cell is a disease,humans is a disease,major is a disease,of hair is a disease,matrix cell tumorigenesis is a disease,than in all is a disease, is a disease,human tumours examined is a disease,major cause is a disease,percentage of is a disease,tumours examined is a disease,cell tumorigenesis in is a disease,This is a disease,in all is a disease,of CTNNB1 mutations is a disease,other human is a disease,human tumours is a disease
" This percentage of CTNNB1 mutations is greater than in all other human tumours examined thus far, and directly implicates beta-catenin/LEF misregulation as the major cause of hair matrix cell tumorigenesis in humans",tumour is a disease,cause of hair is a disease, This percentage is a disease,all is a disease,"examined thus far, is a disease",percentage is a disease,as the major is a disease,all other is a disease,is greater is a disease,the major cause is a disease,other is a disease,the major is a disease,CTNNB1 is a disease,mutations is a disease,directly implicates beta-catenin/LEF is a disease,mutations is is a disease,as is a disease,hair is a disease,greater than is a disease,implicates beta-catenin/LEF misregulation is a disease,in all other is a disease
HFE mutations analysis in 711 hemochromatosis probands: evidence for S65C implication in mild form of hemochromatosis,hemochromatosis is a disease,711 hemochromatosis is a disease,probands: evidence is a disease,in mild is a disease,of hemochromatosis is a disease,mutations is a disease,mutations analysis is a disease,for S65C implication is a disease,mild is a disease,hemochromatosis probands: evidence is a disease,in 711 hemochromatosis is a disease,mild form is a disease,in mild form is a disease,implication in mild is a disease,evidence is a disease,711 is a disease,S65C implication is a disease,evidence for S65C is a disease,for S65C is a disease,in is a disease,implication is a disease
 Hereditary hemochromatosis (HH) is a common autosomal recessive genetic disorder of iron metabolism,hemochromatosis is a disease,recessive genetic disorder is a disease,Hereditary is a disease, ,disorder of is a disease,disorder is a disease,genetic is a disease,hemochromatosis (HH) is is a disease,Hereditary hemochromatosis (HH) is a disease,recessive is a disease,hemochromatosis (HH) is a disease,a common is a disease,autosomal is a disease,is a is a disease,autosomal recessive genetic is a disease,iron is a disease,autosomal recessive is a disease,is is a disease, ,common autosomal recessive is a disease,iron metabolism is a disease
 Hereditary hemochromatosis (HH) is a common autosomal recessive genetic disorder of iron metabolism,HH is a disease, Hereditary is a disease,genetic disorder is a disease,of is a disease,disorder of iron is a disease,a is a disease,is a common is a disease,(HH) is a is a disease,recessive genetic is a disease, Hereditary hemochromatosis is a disease,a common autosomal is a disease,genetic disorder of is a disease,of iron metabolism is a disease,(HH) is a disease, is a disease,(HH) is is a disease,metabolism is a disease,common autosomal is a disease, ,common is a disease,of iron is a disease
